1530615600000
step: 310, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 81.2226840196
step: 310, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 27.4843945592
step: 310, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 105.139099131
step: 311, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 76.9557338177
step: 311, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 27.7445706814
step: 311, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 100.796973742
step: 312, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 74.7460775736
step: 312, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 27.6873929139
step: 312, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 98.3807282384
step: 313, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 71.9333749479
step: 313, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 27.8885385369
step: 313, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 95.5214849497
step: 314, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 68.1940593554
step: 314, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 29.4208277542
step: 314, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 92.7637607022
step: 315, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 65.0292999106
step: 315, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 29.4299750823
step: 315, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 89.2247681741
step: 316, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 61.8710222973
step: 316, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 29.4204342654
step: 316, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 86.0170049826
step: 317, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 58.2880956503
step: 317, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 29.6812539609
step: 317, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 82.8476257564
step: 318, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 54.0638704559
step: 318, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 30.101516364
step: 318, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 79.0894005254
step: 319, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 51.8028496537
step: 319, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 30.1086531431
step: 319, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 76.8051502177
step: 320, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 48.9329276304
step: 320, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 28.9662704233
step: 320, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 72.910021501
step: 321, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 44.7216859223
step: 321, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 29.9976650278
step: 321, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 70.4615782589
step: 322, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 41.9475374415
step: 322, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 28.4538717627
step: 322, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 66.981088419
step: 323, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 37.4135214304
step: 323, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 29.9527551566
step: 323, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 64.9251118223
step: 324, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 34.656433656
step: 324, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 28.3780996311
step: 324, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 61.3178990416
step: 325, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 30.307175111
step: 325, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 29.7718443453
step: 325, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 58.9030480093
step: 326, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.5914929987
step: 326, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 28.5367576955
step: 326, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 55.3931350495
step: 327, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.6891911552
step: 327, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 27.0296954584
step: 327, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 53.2038498532
step: 328, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.3981434572
step: 328, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 23.4193383927
step: 328, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 49.5968310441
step: 329, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.4566089417
step: 329, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 21.3983576434
step: 329, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.6894247352
step: 330, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.5198300532
step: 330, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.8196995923
step: 330, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.21025648
step: 331, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.6076894122
step: 331, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.4732505124
step: 331, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 45.9593051472
step: 332, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.6816129389
step: 332, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3942309436
step: 332, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 45.9557900884
step: 333, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.7381747283
step: 333, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3752878046
step: 333, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 45.9936764888
step: 334, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.8127040187
step: 334, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3661462203
step: 334, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.0590585265
step: 335, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.8710666968
step: 335, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 335, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.1121428605
step: 336, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 26.9483621331
step: 336, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 336, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.1892181216
step: 337, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.0389656137
step: 337, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 337, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.279564424
step: 338, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.1212156268
step: 338, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 338, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.3615818115
step: 339, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.1923463588
step: 339, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 339, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.4325120088
step: 340, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.283469578
step: 340, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 340, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.5233791958
step: 341, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.3798686319
step: 341, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 341, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.6195084474
step: 342, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.4341028554
step: 342, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 342, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.6735913536
step: 343, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.4989466228
step: 343, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 343, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.7382546483
step: 344, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.5680447383
step: 344, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 344, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.8071609829
step: 345, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.6189922782
step: 345, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 345, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.857967469
step: 346, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.6735307113
step: 346, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 346, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 46.9123552352
step: 347, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.7633223885
step: 347, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 347, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.0018995928
step: 348, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.8219686308
step: 348, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 348, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.0603847948
step: 349, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.9139828896
step: 349, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 349, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.1521471677
step: 350, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 27.9815243217
step: 350, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 350, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.2195043125
step: 351, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.0803494259
step: 351, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.2, distance: 19.3609153746
step: 351, v_id1: shuttle_regular_dist.0, v_id2: shuttle_regular_dist.2, distance: 47.3180606899
step: 352, v_id1: shuttle_regular_dist.1, v_id2: shuttle_regular_dist.0, distance: 28.1445333246
